gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
1004,2018,-40.9,187.8,1517.2,17.4,17.4,1679.5,2.4,372.3,84.1,589,7.5,153.5,258.1,2051.8
1004,2019,-44.6,191.6,2079,23.6,23.6,1728.7,0.71,360.6,24.8,692.7,4.4,150.1,229.1,2089.3
1004,2020,-18.3,127.2,1539.7,11.3,11.3,1364.6,1.3,286.8,46.3,591,35.8,101.8,238.6,1651.4
1004,2021,-19.6,156.4,1573.9,17.3,17.3,1470.3,2.16,346.8,78.5,604.1,78.7,149.3,290.3,1817.1
1045,2018,-5274,1773,60580,3745,3745,31365,3.03,13176,1412,1522,1412,5606,1706,44541
1045,2019,-6331,2062,59995,4268,4268,32027,3.79,13741,1686,1851,1686,6024,1750,45768
1045,2020,-7103,1196,62008,1958,1958,22290,-18.36,-4953,-8885,1614,-8885,-9022,1342,17337
1045,2021,-5942,1772,66467,412,412,27969,-3.09,1913,-1993,1795,-1993,-3179,1505,29882
1045,2022,-4585,2149,64716,2906,2906,37631,0.19,11340,127,2279,127,4103,2138,48971
1050,2018,-13.415,51.984,392.582,3.09,3.09,222.543,-0.21,114.796,-7.121,50.511,-7.121,27.334,53.225,337.339
1050,2019,-14.505,48.762,408.637,5.655,5.655,225.66,0.5,116.209,17.707,55.383,17.707,30.231,68.434,341.869
1050,2020,-14.496,55.899,419.314,3.945,3.945,208.571,0.23,107.44,8.211,62.841,8.211,30.514,63.046,316.011
1050,2021,-12.07,56.242,416.197,2.616,2.616,220.45,0.04,103.69,1.426,68.481,1.426,21.893,74.991,324.14
1050,2022,-17.996,73.407,504.721,3.376,3.376,290.826,0.5,131.801,17.417,97.542,17.417,35.828,83.086,422.627
1062,2018,0,0.183,196.072,,,3.037,-2.53,-1.408,-48.789,0,-48.789,-1.408,0.103,1.629
1062,2019,0,,286.612,,,3.544,4.74,-1.173,91.431,0,91.431,-1.173,0.116,2.371
1062,2020,0,0,464.74,,,3.974,9.25,-2.641,178.443,0,178.443,-2.641,0.177,1.333
1062,2021,0,0,482.694,,,4.361,0.95,-1.687,18.348,0,18.348,-1.687,0.237,2.674
1072,2018,-39.494,96.631,2813.278,129.655,129.655,1218.876,1.61,572.914,271.813,631.688,271.813,404.11,262.279,1791.79
1075,2018,-47.708,277.336,17664.202,1203.349,1255.668,2335.206,4.54,1356.041,511.047,294.094,511.047,1356.041,400.988,3691.247
1075,2019,-57.096,346.448,18479.247,1209.975,1241.406,2208.32,4.77,1262.889,538.32,345.92,538.32,1262.889,386.42,3471.209
1075,2020,-62.796,318.585,20020.421,1345.114,1378.89,2184.452,4.87,1402.53,550.559,334.297,550.559,1402.53,425.991,3586.982
1075,2021,-54.861,393.083,22003.222,1494.527,1536.264,2347.65,5.47,1456.185,618.72,367.167,618.72,1456.185,500.549,3803.835
1075,2022,-31.435,430.425,22723.405,1735.52,1780.783,2839.279,4.26,1485.106,483.602,450.636,483.602,1485.106,594.195,4324.385
1076,2018,-1.087,88.369,2826.692,78.845,78.845,193.999,2.78,3634.924,196.21,15.2,196.21,2112.141,205.96,3828.923
1076,2019,-0.019,89.959,3297.8,92.963,92.963,137.253,0.46,3810.403,31.472,14,31.472,2391.35,198.102,3947.656
1076,2020,0,8.63,1317.404,64.345,64.345,121.032,3.43,2363.563,233.627,0,-61.465,2083.917,140.402,2484.595
1076,2021,0,13.741,1621.761,9.555,9.555,137.284,3.67,2540.636,243.557,0,243.557,2177.056,199.937,2677.92
