ctype,GICS Sector,srcdate,salecs
COMPANY,Communication Services,2019-03-31,6.115292804010097
COMPANY,Communication Services,2019-12-31,21.917325446198028
COMPANY,Communication Services,2020-03-31,7.659016624643927
COMPANY,Communication Services,2020-12-31,22.158272829101247
COMPANY,Communication Services,2021-03-31,8.71660838695474
COMPANY,Communication Services,2021-12-31,22.83327457843013
COMPANY,Communication Services,2022-03-31,10.600209330661816
COMPANY,Consumer Discretionary,2019-03-31,2.393867879324854
COMPANY,Consumer Discretionary,2019-05-31,6.22945715202781
COMPANY,Consumer Discretionary,2019-12-31,19.607994202153
COMPANY,Consumer Discretionary,2020-03-31,2.2640507426961682
COMPANY,Consumer Discretionary,2020-05-31,6.089859946672777
COMPANY,Consumer Discretionary,2020-12-31,19.14220304329996
COMPANY,Consumer Discretionary,2021-03-31,1.6788484966072021
COMPANY,Consumer Discretionary,2021-05-31,7.247458210779153
COMPANY,Consumer Discretionary,2021-12-31,25.841767279870997
COMPANY,Consumer Discretionary,2022-03-31,2.436432806268162
COMPANY,Consumer Discretionary,2022-05-31,7.068060240299911
COMPANY,Consumer Staples,2019-02-28,0.45715530838617446
COMPANY,Consumer Staples,2019-04-30,0.8100848040863524
COMPANY,Consumer Staples,2019-05-31,1.8342398748094102
COMPANY,Consumer Staples,2019-06-30,4.732426265845314
COMPANY,Consumer Staples,2019-07-31,0.6004856102519915
COMPANY,Consumer Staples,2019-08-31,5.186713169843115
COMPANY,Consumer Staples,2019-09-30,1.2344620638386963
COMPANY,Consumer Staples,2019-10-31,0.8739012895405268
COMPANY,Consumer Staples,2019-11-30,0.19343539403929277
COMPANY,Consumer Staples,2019-12-31,11.621948442642886
COMPANY,Consumer Staples,2020-02-29,0.4670955043767774
COMPANY,Consumer Staples,2020-04-30,0.9858426139344064
COMPANY,Consumer Staples,2020-05-31,1.9955939951218484
COMPANY,Consumer Staples,2020-06-30,5.247677959726214
COMPANY,Consumer Staples,2020-07-31,0.6587132547032354
COMPANY,Consumer Staples,2020-09-30,1.391068468456181
COMPANY,Consumer Staples,2020-10-31,0.8969818506742198
COMPANY,Consumer Staples,2020-11-30,0.22191703730110654
COMPANY,Consumer Staples,2020-12-31,10.401375712376336
COMPANY,Consumer Staples,2021-02-28,0.4719016148043552
COMPANY,Consumer Staples,2021-04-30,1.0178839243044207
COMPANY,Consumer Staples,2021-05-31,2.053243893457395
COMPANY,Consumer Staples,2021-06-30,5.42972310804266
COMPANY,Consumer Staples,2021-07-31,0.6716186628690408
COMPANY,Consumer Staples,2021-08-31,7.532398573306094
COMPANY,Consumer Staples,2021-09-30,1.5002971077486842
