gvkey,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1045,2019,2062.0,59995.0,4268.0,32027.0,3.79,13741.0,1851.0,1686.0,1750.0,45768.0,,,,,,,,,,
1045,2022,2149.0,64716.0,2906.0,37631.0,0.19,11340.0,2279.0,127.0,2138.0,48971.0,4.219204655674103,7.868989082423536,-31.91190253045923,17.497736285009523,-94.9868073878628,-17.473255221599594,23.122636412749863,-92.46737841043891,22.17142857142857,6.998339451144905
1050,2019,48.762,408.637,5.655,225.66,0.5,116.209,55.383,17.707,68.434,341.869,,,,,,,,,,
1050,2022,73.407,504.721,3.376,290.826,0.5,131.801,97.542,17.417,83.086,422.627,50.54140519256798,23.513289300773057,-40.300618921308576,28.877957989896313,0.0,13.41720520785824,76.12263691024322,-1.6377703732986904,21.410410030101996,23.622498676393583
1075,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1075,2022,430.425,22723.405,1735.52,2839.279,4.26,1485.106,450.636,483.602,594.195,4324.385,24.239424098277386,22.967158780874563,43.43436847868759,28.571900811476585,-10.691823899371066,17.59592489917959,30.27173913043478,-10.16458611978007,53.769214843952184,24.578641044085806
1076,2019,89.959,3297.8,92.963,137.253,0.46,3810.403,14.0,31.472,198.102,3947.656,,,,,,,,,,
1076,2022,14.386,1491.909,9.674,193.926,1.9,2403.9,0.0,98.709,214.351,2597.826,-84.00827043430897,-54.760476681423974,-89.5937093252154,41.2909007453389,313.0434782608695,-36.912184879132205,-100.0,213.64069649211993,8.202340208579416,-34.193202244572475
1078,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,2022,4607.0,74438.0,1777.0,17310.0,3.91,26343.0,6173.0,6933.0,6218.0,43653.0,41.66666666666667,9.64985932505487,8.485958485958486,44.8656791363294,89.80582524271846,32.01202706088699,43.0259499536608,88.03905614320587,14.617511520737327,36.82610330992979
1104,2019,6.693,110.749,1.68,87.023,1.6,55.434,39.261,5.514,25.485,142.457,,,,,,,,,,
1104,2022,10.514,164.377,4.304,125.826,0.82,68.136,63.326,3.035,32.603,193.962,57.08949648886896,48.42301059151777,156.19047619047623,44.58936143318433,-48.75000000000001,22.913735252732977,61.29492371564657,-44.95828799419659,27.93015499313323,36.15476950939582
1117,2019,5.31,37.94,2.455,23.23,-0.21,16.87,13.513,-2.636,3.964,40.1,,,,,,,,,,
1117,2022,12.898,48.832,1.75,39.43,-0.69,11.521,22.105,-11.633,10.616,50.951,142.90018832391715,28.70848708487086,-28.716904276985744,69.73740852346104,228.57142857142856,-31.707172495554236,63.58321616221417,341.31259484066766,167.8102926337033,27.059850374064837
1119,2019,,,,,,,,,,,,,,,,,,,,
1119,2022,,,,,,,,,,,,,,,,,,,,
1121,2019,147.856,330.842,35.743,1776.608,1.94,34.639,26.407,8.207,97.103,1811.247,,,,,,,,,,
1121,2022,204.422,384.159,7.491,3320.721,0.85,46.196,26.919,3.487,189.039,3366.917,38.257493777729685,16.115547602783202,-79.04205019164591,86.91354536284877,-56.18556701030927,33.36412713992897,1.9388798424660145,-57.511880102351654,94.67884617365065,85.88944522751451
1161,2019,1201.0,6028.0,217.0,3721.0,0.3,3010.0,982.0,341.0,1879.0,6731.0,,,,,,,,,,
1161,2022,2956.0,67580.0,450.0,10918.0,0.84,12683.0,3771.0,1320.0,4128.0,23601.0,146.12822647793507,1021.1015262110152,107.37327188940091,193.41574845471646,180.00000000000003,321.36212624584715,284.0122199592668,287.0967741935484,119.69132517296434,250.63140692319118
1186,2019,158.317,8789.885,882.664,901.884,1.99,1593.008,580.068,473.166,89.442,2494.892,,,,,,,,,,
1186,2022,259.002,23494.808,1538.237,2539.821,1.53,3201.341,1209.075,670.249,143.9,5741.162,63.59708685738108,167.29369041802028,74.27208994589108,181.61282382213233,-23.115577889447234,100.96201651215813,108.43676948219864,41.651978375453865,60.88638447261915,130.1166543481642
1209,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1230,2019,146.0,12993.0,696.0,6379.0,6.19,2402.0,72.0,769.0,323.0,8781.0,,,,,,,,,,
1230,2022,221.0,14186.0,1671.0,7553.0,0.45,2093.0,104.0,58.0,296.0,9646.0,51.369863013698634,9.18186715923959,140.08620689655174,18.404138579714687,-92.73021001615508,-12.86427976686095,44.44444444444444,-92.45773732119635,-8.359133126934983,9.85081425805717
1234,2019,5.707,262.031,20.446,73.525,19.73,81.541,42.093,36.761,18.886,155.066,,,,,,,,,,
1234,2022,12.074,264.712,33.736,93.79,19.56,89.716,65.793,35.008,23.951,183.506,111.56474504993868,1.0231613816685747,65.00048909322113,27.56205372322339,-0.8616320324379204,10.02563127751683,56.303898510441165,-4.768640678980441,26.81880758233613,18.340577560522615
1254,2019,235.7,2845.4,310.3,1780.6,1.91,422.5,0.0,82.7,218.7,2203.1,,,,,,,,,,
1254,2022,255.6,4330.0,209.3,2676.6,27.07,1666.4,0.0,1063.9,439.3,4343.0,8.442935935511246,52.175441062767966,-32.54914598775379,50.32011681455689,1317.2774869109949,294.41420118343194,,1186.4570737605804,100.86877000457248,97.1313149652762
