gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1209,On-site,MARKET,77.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,1833.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1787.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1945.8,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,1298.2,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,3423.1,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,51.6,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Sale of equipment,MARKET,970.8,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1309.4,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1327,Distributors,MARKET,4488.1,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Information Technology,2022,274.2,8873.8,489.4,2290.0,7.81,3195.5,1212.1,1275.2,1094.0,5485.5,43.93700787401574,83.35812877097278,22.841365461847392,69.25351071692535,59.71370143149285,57.89603715782192,98.80268984746594,49.39081537019682,135.11712873415001,62.446695095948826
