gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1075,Retail non-residential electric service,MARKET,1509.514,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,723484101,764622.0,4911,PNW,Utilities,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1075,Retail residential electric service,MARKET,1761.122,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,723484101,764622.0,4911,PNW,Utilities,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1075,Wholesale energy sales,MARKET,121.805,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,723484101,764622.0,4911,PNW,Utilities,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1075,Other sources,MARKET,16.308,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,723484101,764622.0,4911,PNW,Utilities,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1075,Transmission services for others,MARKET,62.46,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,723484101,764622.0,4911,PNW,Utilities,2019,346.448,18479.247,1209.975,2208.32,4.77,1262.889,345.92,538.32,386.42,3471.209,,,,,,,,,,
1078,United States,GEOREG,27.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,International,GEOREG,30.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,United States,GEOREG,5374.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,"Key Emerging Markets -India, Russia, China &Brazil",GEOREG,3392.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,International,GEOREG,6865.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,Other Emerging Markets,GEOREG,1094.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,International,GEOREG,4299.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,United States,GEOREG,2887.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,International,GEOREG,4826.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1078,United States,GEOREG,3110.0,2019-12-31,ABBOTT LABORATORIES,ABT,002824100,1800.0,3845,ABT,Health Care,2019,3252.0,67887.0,1638.0,11949.0,2.06,19955.0,4316.0,3687.0,5425.0,31904.0,,,,,,,,,,
1161,International,GEOREG,4980.94,2019-12-31,ADVANCED MICRO DEVICES,AMD,007903107,2488.0,3674,AMD,Information Technology,2019,1201.0,6028.0,217.0,3721.0,0.3,3010.0,982.0,341.0,1879.0,6731.0,,,,,,,,,,
1209,On-site,MARKET,1622.6,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,Merchant,MARKET,1041.0,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,Sale of equipment,MARKET,118.3,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,On-site,MARKET,728.4,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,On-site,MARKET,2230.6,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
